2020-06-25 08:02:46 upgrade debconf:all 1.5.61 1.5.61
2020-06-25 08:02:46 status half-configured debconf:all 1.5.61
2020-06-25 08:02:47 status unpacked debconf:all 1.5.61
2020-06-25 08:02:47 status half-installed debconf:all 1.5.61
2020-06-25 08:02:48 status half-installed debconf:all 1.5.61
2020-06-25 08:02:49 status unpacked debconf:all 1.5.61
2020-06-25 08:02:49 status unpacked debconf:all 1.5.61
2020-06-25 08:02:49 install debianutils:armhf <none> 4.8.1.1
2020-06-25 08:02:49 status half-installed debianutils:armhf 4.8.1.1
2020-06-25 08:02:49 status unpacked debianutils:armhf 4.8.1.1
2020-06-25 08:02:49 status unpacked debianutils:armhf 4.8.1.1
2020-06-25 08:02:50 install diffutils:armhf <none> 1:3.5-3
2020-06-25 08:02:50 status half-installed diffutils:armhf 1:3.5-3
2020-06-25 08:02:50 status unpacked diffutils:armhf 1:3.5-3
2020-06-25 08:02:50 status unpacked diffutils:armhf 1:3.5-3
2020-06-25 08:02:51 upgrade dpkg:armhf 1.18.25 1.18.25
2020-06-25 08:02:51 status half-configured dpkg:armhf 1.18.25
2020-06-25 08:02:51 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:51 status half-installed dpkg:armhf 1.18.25
2020-06-25 08:02:53 status half-installed dpkg:armhf 1.18.25
2020-06-25 08:02:53 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:53 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:54 install e2fslibs:armhf <none> 1.43.4-2+deb9u1
2020-06-25 08:02:54 status half-installed e2fslibs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:54 status unpacked e2fslibs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:54 status unpacked e2fslibs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:54 install e2fsprogs:armhf <none> 1.43.4-2+deb9u1
2020-06-25 08:02:54 status half-installed e2fsprogs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:56 status unpacked e2fsprogs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:56 status unpacked e2fsprogs:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:56 install libcomerr2:armhf <none> 1.43.4-2+deb9u1
2020-06-25 08:02:56 status half-installed libcomerr2:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:56 status unpacked libcomerr2:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:56 status unpacked libcomerr2:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:57 install libss2:armhf <none> 1.43.4-2+deb9u1
2020-06-25 08:02:57 status half-installed libss2:armhf 1.43.4-2+deb9u1
2020-06-25 08:02:57 status unpacked libss2:armhf 1.43.4-2+deb9u1
